"","bisonID","basisOfRecord","catalogNumber","collectorNumber","recordedBy","providerID","institutionCode","resourceID","ownerInstitutionCollectionCode","eventDate","year","providedScientificName","scientificName","ITISscientificName","providedCommonName","ITIScommonName","ITIStsn","validAcceptedITIStsn","decimalLatitude","decimalLongitude","computedCountyFips","providedCounty","calculatedCounty","providedState","calculatedState","countryCode","institutionID","collectionID"
"11",70164782,"specimen","51194","","D. Johnson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-05-06T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.44049835,-123.178299,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"12",70164771,"specimen","51183","","S. Erickson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1983-12-23T00:00Z",1983,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.48669815,-122.3788986,41039,"Lane","Lane County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"13",70164779,"specimen","51191","","J. Jackson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-12-13T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.55369949,-123.1535034,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"14",70164774,"specimen","51186","","D. Fendrich",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1984-01-17T00:00Z",1984,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,42.67430115,-124.2124023,41015,"Curry","Curry County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"15",70164772,"specimen","51184","","J. Jackson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1984-04-25T00:00Z",1984,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.57189941,-123.1190033,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"16",70164780,"specimen","51192","","G. Cox",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1980-12-07T00:00Z",1980,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.57550049,-123.2326965,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"17",39888774,"fossil","193860","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.59999847,-116.8000031,16027,"Canyon","Canyon County","Idaho","Idaho","US","http://msi.ucsb.edu","http://paleodb.org"
"18",39888773,"fossil","193855","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.59999847,-116.8000031,16027,"Canyon","Canyon County","Idaho","Idaho","US","http://msi.ucsb.edu","http://paleodb.org"
"19",39888775,"fossil","193877","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.59999847,-116.8000031,16027,"Canyon","Canyon County","Idaho","Idaho","US","http://msi.ucsb.edu","http://paleodb.org"
"20",891038506,"observation","513000","","vce14",407,"iNaturalist.org","40,714,026","iNaturalist research-grade observations","1881-11-24T00:00Z",1881,"Puma concolor couguar (Kerr, 1792)","Puma concolor couguar","Puma concolor couguar","","eastern cougar;eastern puma",622093,622093,43.64101028,-72.52059937,50027,"","Windsor County","","Vermont","US","http://www.inaturalist.org","http://www.inaturalist.org/observations"
"21",70164787,"specimen","51199","","J. Jackson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-02-20T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.64630127,-123.1359024,41039,"Douglas","Lane County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"22",70164785,"specimen","51197","","R. Shelin",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1980-12-30T00:00Z",1980,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.64630127,-123.1359024,41039,"Douglas","Lane County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"23",686472151,"specimen","145029","","ANDERSON G",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1988-12-15T00:00Z",1988,"Puma concolor californica (May, 1896)","Puma concolor californica","Puma concolor couguar","","eastern cougar;eastern puma",552779,622093,43.6697464,-122.4208679,41039,"LANE CO","Lane County","Oregon","Oregon","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"24",891750794,"observation","427942","","Connor O'Malley",407,"iNaturalist.org","40,714,026","iNaturalist research-grade observations","2013-10-08T01:40Z",2013,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.68558884,-110.5657501,56039,"","Teton County","","Wyoming","US","http://www.inaturalist.org","http://www.inaturalist.org/observations"
"25",686478937,"specimen","151819","","SCHWARTZ A & MCMULLEN M",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1949-02-04T00:00Z",1949,"Puma concolor oregonensis (Rafinesque, 1832)","Puma concolor oregonensis","Puma concolor couguar","","eastern cougar;eastern puma",552789,622093,43.97974396,-122.1708679,41039,"LANE CO","Lane County","Oregon","Oregon","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"26",70164569,"specimen","35217","","ODFW53-1983, Ferry, Greer",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1983-01-02T00:00Z",1983,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.03419876,-122.3322983,41039,"Lane","Lane County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"27",70164768,"specimen","51180","","S. Thomas",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1980-06-27T00:00Z",1980,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,43.99560165,-123.1106033,41039,"Lane","Lane County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"28",897121098,"specimen","5464","","Collector(s): unknown",526,"University of Wyoming Museum of Vertebrates","52,614,879","UWYMV Mammal Collection (Arctos)","1978-06-15T00:00Z",1978,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.87490082,-107.428299,56033,"Sheridan County","Sheridan County","Wyoming","Wyoming","US","http://www.uwyo.edu/biodiversity/vertebrate-museum/","http://www.uwyo.edu/biodiversity/vertebrate-museum/"
"29",686472152,"specimen","145030","","TRAINER C",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1991-12-04T00:00Z",1991,"Puma concolor oregonensis (Rafinesque, 1832)","Puma concolor oregonensis","Puma concolor couguar","","eastern cougar;eastern puma",552789,622093,45.84976196,-118.3107986,41059,"UMATILLA CO","Umatilla County","Oregon","Oregon","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"30",70164773,"specimen","51185","","J. Hindman",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1982-12-27T00:00Z",1982,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,45.52249908,-117.7144012,41063,"Union","Wallowa County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"31",686344120,"specimen","14554","","JELLISON W L",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1944-12-01T00:00Z",1944,"Puma concolor missoulensis (Goldman, 1943)","Puma concolor missoulensis","Puma concolor couguar","","eastern cougar;eastern puma",552788,622093,46.08000183,-114.0699997,30081,"RAVALLI CO","Ravalli County","Montana","Montana","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"32",39888796,"fossil","197126","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47,-118.5,53001,"Adams","Adams County","Washington","Washington","US","http://msi.ucsb.edu","http://paleodb.org"
"33",897156324,"specimen","575","","",291,"North Carolina State Museum of Natural Sciences","291,201,058","NCSM Mammals Collection","",1901,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","Cougar","Cougar;mountain lion;Puma",552479,552479,47.00049973,-109.8749008,30045,"","Judith Basin County","Montana","Montana","US","http://www.naturalsciences.org","http://collections.naturalsciences.org/searchMammals.aspx"
"34",686478935,"specimen","151817","","SCHWARTZ A & WILLIAMS A",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1948-02-04T00:00Z",1948,"Puma concolor oregonensis (Rafinesque, 1832)","Puma concolor oregonensis","Puma concolor couguar","","eastern cougar;eastern puma",552789,622093,44.16974258,-122.1608658,41039,"LANE CO","Lane County","Oregon","Oregon","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"35",70164564,"specimen","34584","","M. Krenz",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1986-05-27T00:00Z",1986,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.3370018,-121.8998032,53033,"King","King County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"36",70164452,"specimen","15000","","D. E. Brown",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1937-05-30T00:00Z",1937,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.10559845,-122.0444031,53053,"Pierce","Pierce County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"37",70164775,"specimen","51187","","R. McCall",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1984-01-28T00:00Z",1984,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,42.96340179,-123.927803,41011,"Coos","Coos County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"38",70164786,"specimen","51198","","C. Fisher",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-01-10T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,42.96340179,-123.0438004,41019,"Douglas","Douglas County","Oregon","Oregon","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"39",897118890,"specimen","3474","C 04006","Collector(s): Terry J. Killough; Preparator(s): Bernard Holz",526,"University of Wyoming Museum of Vertebrates","52,614,879","UWYMV Mammal Collection (Arctos)","1979-11-07T00:00Z",1979,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.37860107,-109.2471008,56029,"Park County","Park County","Wyoming","Wyoming","US","http://www.uwyo.edu/biodiversity/vertebrate-museum/","http://www.uwyo.edu/biodiversity/vertebrate-museum/"
"40",417137301,"specimen","3446","","Coonrod, Joseph",376,"New York State Museum (NYSM)","37,613,666","NYSM Mammals","",1859,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.32799911,-73.78340149,36031,"Essex","Essex County","New York","New York","US","http://www.amnh.org/our-research/vertebrate-zoology",""
"41",417137294,"specimen","3444","","",376,"New York State Museum (NYSM)","37,613,666","NYSM Mammals","",1854,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.47967911,-75.02184296,36089,"St. Lawrence","St. Lawrence County","New York","New York","US","http://www.amnh.org/our-research/vertebrate-zoology",""
"42",417137298,"specimen","3445","","",376,"New York State Museum (NYSM)","37,613,666","NYSM Mammals","",1854,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,44.47967911,-75.02184296,36089,"St. Lawrence","St. Lawrence County","New York","New York","US","http://www.amnh.org/our-research/vertebrate-zoology",""
"43",686478936,"specimen","151818","","SCHWARTZ A & WILLIAMS A",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1949-11-15T00:00Z",1949,"Puma concolor oregonensis (Rafinesque, 1832)","Puma concolor oregonensis","Puma concolor couguar","","eastern cougar;eastern puma",552789,622093,44.17974091,-122.1108704,41039,"LANE CO","Lane County","Oregon","Oregon","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"44",1024658343,"specimen","13-129","","Robinson, Hugh",275,"Charles R. Conner Museum","27,514,363","CRCM Vertebrate Collection","2004-10-14T00:00Z",2004,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","Cougar","Cougar;mountain lion;Puma",552479,552479,48.8325119,-118.1212311,53065,"Stevens","Stevens County","Washington","Washington","US","http://www.sci.wsu.edu/cm/",""
"45",686354336,"specimen","24880","","BAKER R H",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","1948-02-26T00:00Z",1948,"Puma concolor coryi (Bangs, 1899)","Puma concolor coryi","Puma concolor couguar","","eastern cougar;eastern puma",552781,622093,29.30999947,-96.56999969,48089,"COLORADO CO","Colorado County","Texas","Texas","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"46",919431365,"specimen","MR.3813","TDM3","Tom D. Moore",110,"Michigan State University Museum","110,201,173","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","",1958,"Felis concolor stanleyana Goldman, 1938","Felis concolor stanleyana","Puma concolor couguar","","eastern cougar;eastern puma",203571,622093,29.36315536,-103.2444458,48043,"Brewster","Brewster County","Texas","Texas","US","http://museum.msu.edu","http://museum.msu.edu/?q=natural"
"47",919437534,"specimen","MR.3811","TDM2","Tom D. Moore",110,"Michigan State University Museum","110,201,173","MSU Mammalogy, Ornithology and Vertebrate Paleontology Collections","",1958,"Felis concolor stanleyana Goldman, 1938","Felis concolor stanleyana","Puma concolor couguar","","eastern cougar;eastern puma",203571,622093,29.36315536,-103.2444458,48043,"Brewster","Brewster County","Texas","Texas","US","http://museum.msu.edu","http://museum.msu.edu/?q=natural"
"48",891724436,"observation","359909","","Jonah Evans",407,"iNaturalist.org","40,714,026","iNaturalist research-grade observations","2010-12-02T05:35Z",2010,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,29.2892704,-103.3758469,48043,"","Brewster County","","Texas","US","http://www.inaturalist.org","http://www.inaturalist.org/observations"
"49",899975084,"observation","643421","","bryanjbd",407,"iNaturalist.org","40,714,026","iNaturalist research-grade observations","2014-04-25T00:00Z",2014,"Puma concolor coryi (Bangs, 1899)","Puma concolor coryi","Puma concolor couguar","","eastern cougar;eastern puma",552781,622093,26.61377907,-81.34355164,12051,"","Hendry County","","Florida","US","http://www.inaturalist.org","http://www.inaturalist.org/observations"
"50",686481298,"specimen","154182","","UNKNOWN",196,"University of Kansas Biodiversity Institute","19,614,480","KUBI Mammalogy Collection","",NA,"Puma concolor coryi (Bangs, 1899)","Puma concolor coryi","Puma concolor couguar","","eastern cougar;eastern puma",552781,622093,27.90030289,-81.57969666,12105,"","Polk County","Florida","Florida","US","http://www.nhm.ku.edu/","http://mammalogy.biodiversity.ku.edu/"
"51",39888799,"fossil","199841","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,28.71999931,-81.44999695,12095,"Orange","Orange County","Florida","Florida","US","http://msi.ucsb.edu","http://paleodb.org"
"52",70164554,"specimen","34228","","G. Jackson",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1985-10-22T00:00Z",1985,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.52370834,-122.1931992,53033,"King","King County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"53",70164769,"specimen","51181","","R. H. Taylor",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1979-06-22T00:00Z",1979,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.52890015,-121.8242035,53033,"King","King County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"54",70164523,"specimen","32105","","M. Zahn, drug overdose",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1981-02-28T00:00Z",1981,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.90309906,-123.0066986,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"55",70164617,"specimen","39057","","WDFW",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1991-09-09T00:00Z",1991,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.06190109,-123.584198,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"56",868464922,"specimen","6874","","H. F. Norton Co.",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1923,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.07970047,-123.1006012,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"57",868464921,"specimen","6873","","H. F. Norton Co.",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1923,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.07970047,-123.1006012,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"58",70164385,"specimen","6873","","H. F. Norton Co.",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1923,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.07970047,-123.1006012,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"59",70164386,"specimen","6874","","H. F. Norton Co.",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1923,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.07970047,-123.1006012,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"60",70164377,"specimen","581","","Washington State Exposition",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1914,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.81629944,-124.0864029,53031,"Jefferson","Jefferson County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"61",868464925,"specimen","581","","Washington State Exposition",25,"University of Washington Burke Museum","25,124","Mammal Specimens","",1914,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,47.81629944,-124.0864029,53031,"Jefferson","Jefferson County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"62",70164618,"specimen","39058","","WDFW",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1991-10-23T00:00Z",1991,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.09049988,-123.584198,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"63",70164616,"specimen","39056","","WDFW",25,"University of Washington Burke Museum","25,124","Mammal Specimens","1991-09-28T00:00Z",1991,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,48.10480118,-123.4552994,53009,"Clallam","Clallam County","Washington","Washington","US","http://www.washington.edu/burkemuseum/collections/index.php","http://www.washington.edu/burkemuseum/collections/mammalogy/index.php"
"64",39888797,"fossil","198615","","",108,"Marine Science Institute, UCSB","108,563","Paleobiology Database","",NA,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,29.10000038,-82.30000305,12083,"Marion","Marion County","Florida","Florida","US","http://msi.ucsb.edu","http://paleodb.org"
"65",891166763,"observation","303486","","Christine Hass",407,"iNaturalist.org","40,714,026","iNaturalist research-grade observations","2005-10-31T00:00Z",2005,"Puma concolor (Linnaeus, 1771)","Puma concolor","Puma concolor","","Cougar;mountain lion;Puma",552479,552479,29.14855957,-103.493187,48043,"","Brewster County","","Texas","US","http://www.inaturalist.org","http://www.inaturalist.org/observations"
