"","X","total_bill","tip","sex","smoker","day","time","size"
"173",173,7.25,5.15,"Male","Yes","Sun","Dinner",2
"174",174,31.85,3.18,"Male","Yes","Sun","Dinner",2
"175",175,16.82,4,"Male","Yes","Sun","Dinner",2
"176",176,32.9,3.11,"Male","Yes","Sun","Dinner",2
"177",177,17.89,2,"Male","Yes","Sun","Dinner",2
"178",178,14.48,2,"Male","Yes","Sun","Dinner",2
"179",179,9.6,4,"Female","Yes","Sun","Dinner",2
"180",180,34.63,3.55,"Male","Yes","Sun","Dinner",2
"181",181,34.65,3.68,"Male","Yes","Sun","Dinner",4
"182",182,23.33,5.65,"Male","Yes","Sun","Dinner",2
"183",183,45.35,3.5,"Male","Yes","Sun","Dinner",3
"184",184,23.17,6.5,"Male","Yes","Sun","Dinner",4
"185",185,40.55,3,"Male","Yes","Sun","Dinner",2
"186",186,20.69,5,"Male","No","Sun","Dinner",5
"187",187,20.9,3.5,"Female","Yes","Sun","Dinner",3
"188",188,30.46,2,"Male","Yes","Sun","Dinner",5
"189",189,18.15,3.5,"Female","Yes","Sun","Dinner",3
"190",190,23.1,4,"Male","Yes","Sun","Dinner",3
"191",191,15.69,1.5,"Male","Yes","Sun","Dinner",2
"192",192,19.81,4.19,"Female","Yes","Thur","Lunch",2
"193",193,28.44,2.56,"Male","Yes","Thur","Lunch",2
"194",194,15.48,2.02,"Male","Yes","Thur","Lunch",2
"195",195,16.58,4,"Male","Yes","Thur","Lunch",2
"196",196,7.56,1.44,"Male","No","Thur","Lunch",2
"197",197,10.34,2,"Male","Yes","Thur","Lunch",2
"198",198,43.11,5,"Female","Yes","Thur","Lunch",4
"199",199,13,2,"Female","Yes","Thur","Lunch",2
"200",200,13.51,2,"Male","Yes","Thur","Lunch",2
"201",201,18.71,4,"Male","Yes","Thur","Lunch",3
"202",202,12.74,2.01,"Female","Yes","Thur","Lunch",2
"203",203,13,2,"Female","Yes","Thur","Lunch",2
"204",204,16.4,2.5,"Female","Yes","Thur","Lunch",2
"205",205,20.53,4,"Male","Yes","Thur","Lunch",4
"206",206,16.47,3.23,"Female","Yes","Thur","Lunch",3
"207",207,26.59,3.41,"Male","Yes","Sat","Dinner",3
"208",208,38.73,3,"Male","Yes","Sat","Dinner",4
"209",209,24.27,2.03,"Male","Yes","Sat","Dinner",2
"210",210,12.76,2.23,"Female","Yes","Sat","Dinner",2
"211",211,30.06,2,"Male","Yes","Sat","Dinner",3
"212",212,25.89,5.16,"Male","Yes","Sat","Dinner",4
"213",213,48.33,9,"Male","No","Sat","Dinner",4
"214",214,13.27,2.5,"Female","Yes","Sat","Dinner",2
"215",215,28.17,6.5,"Female","Yes","Sat","Dinner",3
"216",216,12.9,1.1,"Female","Yes","Sat","Dinner",2
"217",217,28.15,3,"Male","Yes","Sat","Dinner",5
"218",218,11.59,1.5,"Male","Yes","Sat","Dinner",2
"219",219,7.74,1.44,"Male","Yes","Sat","Dinner",2
"220",220,30.14,3.09,"Female","Yes","Sat","Dinner",4
"221",221,12.16,2.2,"Male","Yes","Fri","Lunch",2
"222",222,13.42,3.48,"Female","Yes","Fri","Lunch",2
"223",223,8.58,1.92,"Male","Yes","Fri","Lunch",1
"224",224,15.98,3,"Female","No","Fri","Lunch",3
"225",225,13.42,1.58,"Male","Yes","Fri","Lunch",2
"226",226,16.27,2.5,"Female","Yes","Fri","Lunch",2
"227",227,10.09,2,"Female","Yes","Fri","Lunch",2
"228",228,20.45,3,"Male","No","Sat","Dinner",4
"229",229,13.28,2.72,"Male","No","Sat","Dinner",2
"230",230,22.12,2.88,"Female","Yes","Sat","Dinner",2
"231",231,24.01,2,"Male","Yes","Sat","Dinner",4
"232",232,15.69,3,"Male","Yes","Sat","Dinner",3
"233",233,11.61,3.39,"Male","No","Sat","Dinner",2
"234",234,10.77,1.47,"Male","No","Sat","Dinner",2
"235",235,15.53,3,"Male","Yes","Sat","Dinner",2
"236",236,10.07,1.25,"Male","No","Sat","Dinner",2
"237",237,12.6,1,"Male","Yes","Sat","Dinner",2
"238",238,32.83,1.17,"Male","Yes","Sat","Dinner",2
"239",239,35.83,4.67,"Female","No","Sat","Dinner",3
"240",240,29.03,5.92,"Male","No","Sat","Dinner",3
"241",241,27.18,2,"Female","Yes","Sat","Dinner",2
"242",242,22.67,2,"Male","Yes","Sat","Dinner",2
"243",243,17.82,1.75,"Male","No","Sat","Dinner",2
"244",244,18.78,3,"Female","No","Thur","Dinner",2
